Entidad,PIB ,Anio
 Aguascalientes ,307375.128,2018
 Baja California ,824068.035,2018
 Baja California Sur ,175398.34,2018
 Campeche ,555407.927,2018
 Chiapas ,340219.119,2018
 Chihuahua ,809521.347,2018
 Ciudad de México ,3482680.221,2018
 Coahuila de Zaragoza ,907746.098,2018
 Colima ,149814.724,2018
 Durango ,296519.184,2018
 Guanajuato ,1057787.437,2018
 Guerrero ,305975.991,2018
 Hidalgo ,400585.576,2018
 Jalisco ,1643838.703,2018
 México ,2109499.554,2018
 Michoacán de Ocampo ,606391.49,2018
 Morelos ,257458.604,2018
 Nayarit ,148674.519,2018
 Nuevo León ,1788706.611,2018
 Oaxaca ,366942.379,2018
 Puebla ,803728.819,2018
 Querétaro ,574691.378,2018
 Quintana Roo ,350782.493,2018
 San Luis Potosí ,529176.512,2018
 Sinaloa ,505706.288,2018
 Sonora ,743562.51,2018
 Tabasco ,457928.594,2018
 Tamaulipas ,694130.921,2018
 Tlaxcala ,138471.82,2018
 Total nacional ,22873645.55,2018
 Veracruz de Ignacio de la Llave ,985346.044,2018
 Yucatán ,347299.655,2018
 Zacatecas ,208209.524,2018
 Aguascalientes ,308643.756,2019
 Baja California ,837291.583,2019
 Baja California Sur ,168851.538,2019
 Campeche ,532568.537,2019
 Chiapas ,335271.979,2019
 Chihuahua ,823112.404,2019
 Ciudad de México ,3468776.15,2019
 Coahuila de Zaragoza ,895503.958,2019
 Colima ,157136.669,2019
 Durango ,296798.286,2019
 Guanajuato ,1037527.57,2019
 Guerrero ,304988.702,2019
 Hidalgo ,390215.32,2019
 Jalisco ,1652081.06,2019
 México ,2078440.914,2019
 Michoacán de Ocampo ,608179.975,2019
 Morelos ,254340.59,2019
 Nayarit ,149590.964,2019
 Nuevo León ,1796980.266,2019
 Oaxaca ,350891.89,2019
 Puebla ,810944.302,2019
 Querétaro ,572279.419,2019
 Quintana Roo ,350599.602,2019
 San Luis Potosí ,507272.798,2019
 Sinaloa ,500333.538,2019
 Sonora ,744467.252,2019
 Tabasco ,432533.685,2019
 Tamaulipas ,713130.233,2019
 Tlaxcala ,138632.785,2019
 Total nacional ,22773432.97,2019
 Veracruz de Ignacio de la Llave ,1007413.771,2019
 Yucatán ,348153.177,2019
 Zacatecas ,200480.294,2019
 Aguascalientes ,288806.752,2020
 Baja California ,789722.667,2020
 Baja California Sur ,145348.508,2020
 Campeche ,495405.978,2020
 Chiapas ,325268.105,2020
 Chihuahua ,769196.865,2020
 Ciudad de México ,3112253.188,2020
 Coahuila de Zaragoza ,792824.519,2020
 Colima ,144322.089,2020
 Durango ,275074.923,2020
 Guanajuato ,965356.521,2020
 Guerrero ,279510.841,2020
 Hidalgo ,347875.318,2020
 Jalisco ,1527589.368,2020
 México ,1920541.859,2020
 Michoacán de Ocampo ,575938.465,2020
 Morelos ,231738.986,2020
 Nayarit ,136343.047,2020
 Nuevo León ,1640143.321,2020
 Oaxaca ,336292.344,2020
 Puebla ,728372.7,2020
 Querétaro ,521268.968,2020
 Quintana Roo ,275444.215,2020
 San Luis Potosí ,475836.685,2020
 Sinaloa ,465173.543,2020
 Sonora ,699032.796,2020
 Tabasco ,453398.746,2020
 Tamaulipas ,655866.945,2020
 Tlaxcala ,126825.089,2020
 Total nacional ,20942859.75,2020
 Veracruz de Ignacio de la Llave ,930611.284,2020
 Yucatán ,318106.945,2020
 Zacatecas ,193368.169,2020
 Aguascalientes ,295929.002,2021
 Baja California ,840815.429,2021
 Baja California Sur ,162014.038,2021
 Campeche ,480562.6,2021
 Chiapas ,340619.305,2021
 Chihuahua ,802930.232,2021
 Ciudad de México ,3297838.59,2021
 Coahuila de Zaragoza ,864223.849,2021
 Colima ,142868.275,2021
 Durango ,290735.336,2021
 Guanajuato ,1023753.033,2021
 Guerrero ,291681.667,2021
 Hidalgo ,372735.191,2021
 Jalisco ,1605307.221,2021
 México ,2037513.582,2021
 Michoacán de Ocampo ,601157.848,2021
 Morelos ,245549.708,2021
 Nayarit ,148739.423,2021
 Nuevo León ,1750951.164,2021
 Oaxaca ,369604.639,2021
 Puebla ,753108.117,2021
 Querétaro ,542429.841,2021
 Quintana Roo ,309991.764,2021
 San Luis Potosí ,490699.323,2021
 Sinaloa ,485722.871,2021
 Sonora ,723036.337,2021
 Tabasco ,530759.352,2021
 Tamaulipas ,686355.862,2021
 Tlaxcala ,134339.12,2021
 Total nacional ,22149595.78,2021
 Veracruz de Ignacio de la Llave ,983043.105,2021
 Yucatán ,341357.547,2021
 Zacatecas ,203222.405,2021
 Aguascalientes ,295465.297,2022
 Baja California ,861176.51,2022
 Baja California Sur ,168183.927,2022
 Campeche ,463745.872,2022
 Chiapas ,359995.344,2022
 Chihuahua ,862095.219,2022
 Ciudad de México ,3434039.559,2022
 Coahuila de Zaragoza ,876459.188,2022
 Colima ,142732.914,2022
 Durango ,287229.393,2022
 Guanajuato ,1046068.456,2022
 Guerrero ,297644.618,2022
 Hidalgo ,409979.147,2022
 Jalisco ,1683102.31,2022
 México ,2090281.25,2022
 Michoacán de Ocampo ,623109.041,2022
 Morelos ,246220.934,2022
 Nayarit ,154377.042,2022
 Nuevo León ,1804399.234,2022
 Oaxaca ,398722.573,2022
 Puebla ,782713.353,2022
 Querétaro ,550995.771,2022
 Quintana Roo ,330481.083,2022
 San Luis Potosí ,506533.564,2022
 Sinaloa ,492966.564,2022
 Sonora ,745556.759,2022
 Tabasco ,621570.845,2022
 Tamaulipas ,708489.125,2022
 Tlaxcala ,137536.454,2022
 Total nacional ,22935858.89,2022
 Veracruz de Ignacio de la Llave ,996481.818,2022
 Yucatán ,351121.558,2022
 Zacatecas ,206384.167,2022
 Sinaloa ,,2023
 Sonora ,,2023
 Tabasco ,,2023
 Tamaulipas ,,2023
 Tlaxcala ,,2023
 Total nacional ,,2023
 Veracruz de Ignacio de la Llave ,,2023
 Yucatán ,,2023
 Zacatecas ,,2023
